year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,op_carrier_fl_num,origin,origin_city_name,origin_state_nm,dest,dest_city_name,dest_state_nm,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,1,1,1,1/1/2024,AA,1908,LAS,"Las Vegas, NV",Nevada,DFW,"Dallas/Fort Worth, TX",Texas,653,649,-4,17,706,1116,10,1135,1126,-9,0,,0,162,157,130,1055,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1909,CLT,"Charlotte, NC",North Carolina,RIC,"Richmond, VA",Virginia,1812,1805,-7,25,1830,1912,26,1925,1938,13,0,,0,73,93,42,257,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1909,RIC,"Richmond, VA",Virginia,CLT,"Charlotte, NC",North Carolina,2015,2015,0,23,2038,2128,11,2138,2139,1,0,,0,83,84,50,257,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1911,CLT,"Charlotte, NC",North Carolina,PHX,"Phoenix, AZ",Arizona,1431,1429,-2,12,1441,1645,7,1716,1652,-24,0,,0,285,263,244,1773,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1914,SFO,"San Francisco, CA",California,PHX,"Phoenix, AZ",Arizona,1850,1843,-7,17,1900,2134,25,2149,2159,10,0,,0,119,136,94,651,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1915,ORD,"Chicago, IL",Illinois,JAC,"Jackson, WY",Wyoming,955,950,-5,16,1006,1146,3,1211,1149,-22,0,,0,196,179,160,1162,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1918,JAX,"Jacksonville, FL",Florida,PHL,"Philadelphia, PA",Pennsylvania,1801,1757,-4,11,1808,1948,4,2002,1952,-10,0,,0,121,115,100,742,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1919,CLT,"Charlotte, NC",North Carolina,JAX,"Jacksonville, FL",Florida,948,946,-2,16,1002,1101,5,1120,1106,-14,0,,0,92,80,59,328,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1919,JAX,"Jacksonville, FL",Florida,CLT,"Charlotte, NC",North Carolina,1210,1207,-3,14,1221,1317,6,1334,1323,-11,0,,0,84,76,56,328,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1920,PHL,"Philadelphia, PA",Pennsylvania,ORD,"Chicago, IL",Illinois,1040,1035,-5,23,1058,1135,10,1221,1145,-36,0,,0,161,130,97,678,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1921,DCA,"Washington, DC",Virginia,JAX,"Jacksonville, FL",Florida,1503,1452,-11,12,1504,1644,4,1720,1648,-32,0,,0,137,116,100,634,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1922,MIA,"Miami, FL",Florida,JFK,"New York, NY",New York,1930,1926,-4,26,1952,2225,4,2240,2229,-11,0,,0,190,183,153,1089,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1923,DFW,"Dallas/Fort Worth, TX",Texas,HDN,"Hayden, CO",Colorado,837,827,-10,14,841,945,3,1018,948,-30,0,,0,161,141,124,769,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1923,HDN,"Hayden, CO",Colorado,DFW,"Dallas/Fort Worth, TX",Texas,1109,1105,-4,20,1125,1405,12,1433,1417,-16,0,,0,144,132,100,769,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1924,DFW,"Dallas/Fort Worth, TX",Texas,HDN,"Hayden, CO",Colorado,1219,1210,-9,12,1222,1322,4,1354,1326,-28,0,,0,155,136,120,769,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1924,HDN,"Hayden, CO",Colorado,DFW,"Dallas/Fort Worth, TX",Texas,1446,1443,-3,11,1454,1738,11,1810,1749,-21,0,,0,144,126,104,769,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1925,CLT,"Charlotte, NC",North Carolina,JAX,"Jacksonville, FL",Florida,1335,1329,-6,20,1349,1445,3,1457,1448,-9,0,,0,82,79,56,328,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1925,JAX,"Jacksonville, FL",Florida,CLT,"Charlotte, NC",North Carolina,1552,1543,-9,19,1602,1659,15,1716,1714,-2,0,,0,84,91,57,328,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1926,PHL,"Philadelphia, PA",Pennsylvania,JAX,"Jacksonville, FL",Florida,1627,1620,-7,14,1634,1819,5,1847,1824,-23,0,,0,140,124,105,742,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1927,BDL,"Hartford, CT",Connecticut,CLT,"Charlotte, NC",North Carolina,1931,1929,-2,13,1942,2124,12,2145,2136,-9,0,,0,134,127,102,644,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1927,CLT,"Charlotte, NC",North Carolina,BDL,"Hartford, CT",Connecticut,1644,1648,4,20,1708,1837,4,1841,1841,0,0,,0,117,113,89,644,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1928,BNA,"Nashville, TN",Tennessee,CLT,"Charlotte, NC",North Carolina,732,725,-7,20,745,938,7,955,945,-10,0,,0,83,80,53,328,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1929,ORD,"Chicago, IL",Illinois,RSW,"Fort Myers, FL",Florida,845,842,-3,11,853,1214,5,1237,1219,-18,0,,0,172,157,141,1120,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1929,RSW,"Fort Myers, FL",Florida,ORD,"Chicago, IL",Illinois,1334,1329,-5,13,1342,1519,9,1548,1528,-20,0,,0,194,179,157,1120,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1930,CLT,"Charlotte, NC",North Carolina,RSW,"Fort Myers, FL",Florida,1645,1639,-6,15,1654,1821,6,1846,1827,-19,0,,0,121,108,87,600,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1930,RSW,"Fort Myers, FL",Florida,CLT,"Charlotte, NC",North Carolina,1936,1929,-7,15,1944,2113,7,2134,2120,-14,0,,0,118,111,89,600,0,0,0,0,0
